serving_size,serving_count,calories,calories_pdv,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,total_sugars,added_sugars,protein,vitamin_d,vitamin_a,vitamin_c,calcium,iron,potassium,total_fat_pdv,saturated_fat_pdv,trans_fat_pdv,cholesterol_pdv,sodium_pdv,total_carbohydrate_pdv,dietary_fiber_pdv,total_sugars_pdv,added_sugars_pdv,protein_pdv,vitamin_d_pdv,vitamin_a_pdv,vitamin_c_pdv,calcium_pdv,iron_pdv,potassium_pdv,item_id
301 g,,710.0,,49 g,13 g,0 g,280 mg,270 mg,7 g,5 g,1 g,,59 g,0.0 µg,2102.55 µg,54.33 mg,131.3 mg,4.91 mg,115.89 mg,63,65,,93,12,3,18,,,119,0,234,60,10,27,2,866
0 g,,290.0,,6 g,3 g,0 g,80 mg,370 mg,53 g,2 g,10 g,,12 g,0.0 µg,0.0 µg,2.35 mg,39.22 mg,2.82 mg,0.0 mg,8,15,,26,16,19,7,,,24,0,0,3,3,16,0,868
,,60.0,,3.5 g,0.5 g,0 g,0 mg,10 mg,5 g,2 g,2 g,,3 g,0.0 µg,43.15 µg,7.76 mg,29.08 mg,2.48 mg,236.71 mg,5,3,,0,0,2,9,4,,5,0,5,9,2,14,5,912
,,120.0,,4 g,1.5 g,0 g,50 mg,1140 mg,5 g,0 g,5 g,,17 g,0.6 µg,12.91 µg,0.0 mg,12.49 mg,0.91 mg,321.39 mg,5,7,,16,50,2,0,10,,34,3,1,0,1,5,7,907
"3.48 ea (2,165 g)",,9960.0,,523 g,296 g,0 g,3925 mg,1800 mg,1233 g,6 g,1162 g,,106 g,15.59 µg,4778.37 µg,224.73 mg,978.58 mg,20.78 mg,2186.43 mg,671,1480,,1308,78,448,22,,,211,78,531,250,75,115,47,915
,,230.0,,22 g,2.5 g,0 g,0 mg,170 mg,4 g,1 g,1 g,,5 g,0.02 µg,147.77 µg,13.72 mg,249.8 mg,1.61 mg,296.24 mg,28,13,,0,7,1,4,3,,10,0,16,15,19,9,6,908
125 g,,230.0,,17 g,7 g,0 g,390 mg,240 mg,0 g,0 g,0 g,,17 g,0.09 µg,71.96 µg,4.29 mg,153.03 mg,1.75 mg,36.64 mg,21,34,,130,11,0,1,,,33,0,8,5,12,10,1,909
,,190.0,,8 g,4 g,0 g,20 mg,150 mg,23 g,2 g,6 g,,6 g,0.82 µg,375.43 µg,10.15 mg,163.32 mg,0.84 mg,433.63 mg,10,21,,7,6,9,9,12,,13,4,42,11,13,5,9,910
,,100.0,,3.5 g,0.5 g,0 g,0 mg,45 mg,14 g,3 g,0 g,,3 g,0.0 µg,5.07 µg,14.52 mg,35.91 mg,3.77 mg,475.62 mg,5,3,,0,2,5,10,0,,6,0,1,16,3,21,10,911
176 g,,350.0,,16 g,5 g,0 g,15 mg,480 mg,42 g,7 g,13 g,,12 g,0.11 µg,92.05 µg,8.41 mg,52.69 mg,2.18 mg,322.64 mg,20,27,,4,21,15,27,27,,25,1,10,9,4,12,7,913
176 g,,300.0,,11 g,2 g,0.5 g,0 mg,380 mg,45 g,9 g,13 g,,9 g,0.0 µg,10.7 µg,8.38 mg,22.18 mg,1.92 mg,349.52 mg,14,10,,0,17,16,33,,,18,0,1,9,2,11,7,914
,,500.0,,39 g,11 g,0 g,110 mg,100 mg,5 g,2 g,0 g,,35 g,0.0 µg,55.84 µg,14.66 mg,101.43 mg,5.17 mg,130.46 mg,49,53,,37,4,2,8,0,,70,0,6,16,8,29,3,916
,,760.0,,28 g,2 g,0 g,0 mg,24020 mg,126 g,14 g,20 g,,23 g,0.0 µg,2500.74 µg,26.87 mg,167.81 mg,2.77 mg,1527.05 mg,37,10,,0,1044,46,49,39,,45,0,278,30,13,15,32,917
,,80.0,,5 g,0.5 g,0 g,0 mg,180 mg,10 g,4 g,3 g,,2 g,0.0 µg,22.01 µg,12.78 mg,25.39 mg,0.68 mg,280.52 mg,6,4,,0,8,3,13,5,,4,0,2,14,2,4,6,918
137 g,,420.0,,26 g,4 g,0 g,100 mg,95 mg,12 g,1 g,9 g,,32 g,0.0 µg,20.45 µg,9.32 mg,21.08 mg,1.79 mg,619.6 mg,33,19,,33,4,4,4,19,,64,0,2,10,2,10,13,919
86 g,,120.0,,4.5 g,0.5 g,0 g,0 mg,35 mg,17 g,3 g,2 g,,4 g,0.0 µg,12.92 µg,6.28 mg,23.69 mg,1.2 mg,228.84 mg,5,3,,0,1,6,9,,,7,0,1,7,2,7,5,920
,,740.0,,24 g,14 g,0 g,130 mg,520 mg,119 g,2 g,56 g,,12 g,0.94 µg,230.65 µg,1.42 mg,269.62 mg,4.74 mg,182.74 mg,31,71,,43,23,43,8,111,,24,5,26,2,21,26,4,921
212 g,,310.0,,14 g,4.5 g,0 g,415 mg,380 mg,25 g,3 g,0 g,,20 g,0.0 µg,0.02 µg,0.0 mg,150.05 mg,3.39 mg,106.38 mg,18,22,,138,17,9,9,,,39,0,0,0,12,19,2,924
167 g,,320.0,,20 g,4 g,0 g,140 mg,240 mg,6 g,2 g,1 g,,30 g,0.0 µg,33.28 µg,25.75 mg,105.34 mg,4.09 mg,442.83 mg,25,20,,47,11,2,7,,,60,0,4,29,8,23,9,922
63 g,,100.0,,6 g,1.5 g,0 g,0 mg,220 mg,10 g,2 g,0 g,,2 g,0.01 µg,2.48 µg,1.87 mg,14.41 mg,0.57 mg,58.26 mg,8,7,,0,10,4,7,,,4,0,0,2,1,3,1,923
273 g,,130.0,,1 g,0 g,0 g,0 mg,340 mg,27 g,7 g,7 g,,5 g,0.0 µg,475.4 µg,27.74 mg,85.67 mg,2.24 mg,650.48 mg,1,1,,0,15,10,26,,,10,0,53,31,7,12,14,925
241 g,,410.0,,14 g,4 g,0 g,415 mg,630 mg,47 g,2 g,2 g,,23 g,0.0 µg,0.02 µg,0.0 mg,75.12 mg,4.48 mg,0.94 mg,18,21,,138,27,17,7,,,45,0,0,0,6,25,0,927
228 g,,320.0,,25 g,18 g,0 g,0 mg,830 mg,11 g,3 g,2 g,,16 g,0.0 µg,32.72 µg,53.56 mg,58.0 mg,6.22 mg,321.69 mg,31,89,,0,36,4,10,3,,33,0,4,60,4,35,7,926
,,140.0,,4 g,0.5 g,0 g,60 mg,55 mg,7 g,2 g,3 g,,19 g,0.0 µg,48.29 µg,15.29 mg,27.93 mg,0.77 mg,523.93 mg,5,4,,19,2,2,6,7,,38,0,5,17,2,4,11,928
,,190.0,,8 g,1 g,0 g,0 mg,1000 mg,24 g,9 g,1 g,,9 g,0.0 µg,26.1 µg,8.06 mg,88.78 mg,2.81 mg,508.07 mg,10,6,,0,43,9,33,3,,17,0,3,9,7,16,11,929
129 g,,400.0,,26 g,7 g,0 g,130 mg,180 mg,6 g,0 g,6 g,,32 g,0.35 µg,78.03 µg,5.19 mg,39.45 mg,2.12 mg,459.45 mg,33,37,,43,8,2,1,,,64,2,9,6,3,12,10,943
,,240.0,,14 g,8 g,0 g,35 mg,150 mg,27 g,0 g,6 g,,3 g,0.03 µg,109.72 µg,0.17 mg,45.98 mg,1.7 mg,54.25 mg,17,42,,12,7,10,3,12,,6,0,12,0,4,9,1,950
3 ea (85 g),,130.0,,6 g,1 g,0 g,0 mg,35 mg,15 g,2 g,2 g,,4 g,0.0 µg,34.47 µg,7.97 mg,20.12 mg,1.42 mg,172.19 mg,8,4,,0,2,5,9,,,7,0,4,9,2,8,4,948
7 g,,5.0,,0 g,0 g,0 g,0 mg,65 mg,2 g,0 g,1 g,,0 g,0.0 µg,1.82 µg,0.29 mg,1.05 mg,0.02 mg,19.67 mg,0,0,,0,3,1,0,3,,0,0,0,0,0,0,0,949
6.21 ea (176 g),,140.0,,12 g,1.5 g,0 g,0 mg,15 mg,5 g,1 g,3 g,,1 g,0.0 µg,57.94 µg,12.69 mg,33.67 mg,0.74 mg,219.52 mg,16,9,,0,1,2,5,,,3,0,6,14,3,4,5,946
,,270.0,,12 g,4.5 g,0 g,120 mg,240 mg,2 g,0 g,0 g,,36 g,0.11 µg,62.57 µg,4.21 mg,141.35 mg,0.79 mg,533.33 mg,16,22,,40,10,1,2,2,,72,1,7,5,11,4,11,944
185 g,,210.0,,11 g,4 g,0 g,0 mg,440 mg,28 g,4 g,5 g,,3 g,0.0 µg,24.92 µg,8.73 mg,270.01 mg,10.75 mg,323.05 mg,14,20,,0,19,10,16,,,7,0,3,10,21,60,7,945
3.7 ea (105 g),,380.0,,20 g,7 g,0 g,35 mg,180 mg,48 g,2 g,25 g,,5 g,0.42 µg,24.1 µg,0.21 mg,116.35 mg,2.03 mg,127.44 mg,26,34,,11,8,17,6,,,10,2,3,0,9,11,3,947
,,60.0,,4 g,0.5 g,0 g,0 mg,60 mg,5 g,4 g,0 g,,4 g,0.0 µg,179.99 µg,28.2 mg,148.07 mg,2.93 mg,273.91 mg,5,3,,0,3,2,13,1,,9,0,20,31,11,16,6,532
212 g,,310.0,,14 g,4.5 g,0 g,415 mg,380 mg,25 g,3 g,0 g,,20 g,0.0 µg,0.02 µg,0.0 mg,150.05 mg,3.39 mg,106.38 mg,18,22,,138,17,9,9,,,39,0,0,0,12,19,2,951
176 g,,280.0,,6 g,1 g,0 g,0 mg,370 mg,54 g,4 g,27 g,,6 g,0.0 µg,1.64 µg,2.46 mg,82.51 mg,2.13 mg,131.84 mg,8,6,,0,16,19,13,,,12,0,0,3,6,12,3,640
241 g,,410.0,,14 g,4 g,0 g,415 mg,630 mg,47 g,2 g,2 g,,23 g,0.0 µg,0.02 µg,0.0 mg,75.12 mg,4.48 mg,0.94 mg,18,21,,138,27,17,7,,,45,0,0,0,6,25,0,954
200 g,,120.0,,1.5 g,0 g,0 g,0 mg,140 mg,21 g,4 g,4 g,,6 g,0.0 µg,18.64 µg,29.4 mg,39.82 mg,2.22 mg,381.26 mg,2,1,,0,6,7,14,,,12,0,2,33,3,12,8,952
4.24 ea (120 g),,130.0,,6 g,3 g,0 g,70 mg,25 mg,18 g,2 g,13 g,,3 g,0.89 µg,79.88 µg,8.74 mg,70.52 mg,0.6 mg,133.69 mg,8,16,,24,1,7,8,25,,6,4,9,10,5,3,3,953
85 g,,70.0,,0 g,0 g,0 g,0 mg,90 mg,12 g,4 g,4 g,,4 g,0.0 µg,87.6 µg,15.31 mg,18.71 mg,1.3 mg,130.13 mg,0,0,,0,4,4,14,9,,9,0,10,17,1,7,3,958
,,700.0,,32 g,4.5 g,0 g,35 mg,1420 mg,67 g,3 g,13 g,,37 g,0.18 µg,276.07 µg,4.05 mg,217.53 mg,3.81 mg,118.93 mg,42,21,,12,62,24,12,26,,74,1,31,5,17,21,3,957
2.97 ea (84 g),,290.0,,15 g,4.5 g,0 g,80 mg,470 mg,35 g,0 g,22 g,,4 g,0.6 µg,66.97 µg,0.4 mg,73.06 mg,1.6 mg,64.44 mg,19,24,,27,20,13,1,,,8,3,7,0,6,9,1,956
170 g,,160.0,,8 g,2.5 g,0 g,0 mg,105 mg,19 g,2 g,13 g,,1 g,0.0 µg,45.48 µg,52.62 mg,42.82 mg,0.75 mg,247.72 mg,11,13,,0,4,7,8,,,3,0,5,58,3,4,5,955
185 g,,400.0,,28 g,14 g,0 g,135 mg,690 mg,20 g,3 g,3 g,,18 g,0.3 µg,687.16 µg,33.97 mg,473.42 mg,3.87 mg,718.52 mg,36,71,,46,30,7,12,,,36,2,76,38,36,22,15,960
173 g,,220.0,,8 g,2 g,0 g,60 mg,250 mg,30 g,5 g,5 g,,10 g,0.03 µg,447.29 µg,106.55 mg,234.31 mg,4.24 mg,538.46 mg,10,9,,20,11,11,17,,,21,0,50,118,18,24,11,959
56 g,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968
56 g,,120.0,,1 g,,0 g,0 mg,150 mg,13 g,,,,0 g,0.0 µg,0.0 µg,0.0 mg,68.32 mg,1.08 mg,117.6 mg,1,,,0,6,5,,,,0,0,0,0,5,6,3,967
0 g,,60.0,,0 g,,0 g,0 mg,15 mg,15 g,,,,0 g,0.0 µg,0.0 µg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0,,,0,1,5,,,,0,0,0,0,0,0,0,966
2.6 ea (74 g),,170.0,,9 g,5 g,0 g,20 mg,150 mg,19 g,0 g,2 g,,5 g,0.0 µg,0.0 µg,53.97 mg,0.0 mg,1.31 mg,0.0 mg,11,26,,6,6,7,3,4,,10,0,0,60,0,7,0,971
,,180.0,,6 g,3.5 g,0 g,25 mg,75 mg,28 g,0 g,15 g,,2 g,0.07 µg,52.0 µg,0.01 mg,9.8 mg,0.9 mg,71.39 mg,8,18,,8,3,10,2,30,,4,0,6,0,1,5,2,970
,,180.0,,9 g,1 g,0 g,0 mg,210 mg,24 g,9 g,9 g,,5 g,0.0 µg,26.99 µg,15.51 mg,75.32 mg,2.24 mg,583.93 mg,11,6,,0,9,9,33,19,,11,0,3,17,6,12,12,969
,,190.0,,10 g,3.5 g,0 g,35 mg,130 mg,22 g,0 g,12 g,,3 g,0.23 µg,37.68 µg,0.01 mg,31.73 mg,0.88 mg,37.52 mg,13,17,,11,6,8,3,25,,7,1,4,0,2,5,1,974
230 g,,60.0,,0 g,,0 g,0 mg,100 mg,12 g,,,,2 g,0.0 µg,378.26 µg,28.8 mg,54.67 mg,0.53 mg,455.19 mg,1,,,0,4,4,,,,4,0,42,32,4,3,10,973
4.73 ea (134 g),,480.0,,30 g,18 g,0 g,110 mg,360 mg,47 g,0 g,33 g,,6 g,0.63 µg,133.26 µg,0.01 mg,107.98 mg,1.53 mg,98.09 mg,38,88,,37,15,17,1,65,,12,3,15,0,8,9,2,972
,,200.0,,4 g,2.5 g,0 g,35 mg,160 mg,36 g,1 g,17 g,,3 g,0.19 µg,40.18 µg,1.77 mg,38.8 mg,1.3 mg,111.46 mg,5,12,,12,7,13,4,34,,7,1,4,2,3,7,2,975
298 g,,430.0,,29 g,,0 g,0 mg,280 mg,36 g,,,,15 g,0.03 µg,102.81 µg,29.77 mg,125.67 mg,4.86 mg,918.76 mg,37,,,0,12,13,,,,30,0,11,33,10,27,20,984
,,260.0,,9 g,1 g,0 g,0 mg,480 mg,38 g,2 g,3 g,,7 g,0.0 µg,0.0 µg,0.0 mg,9.52 mg,2.57 mg,72.24 mg,11,4,,0,21,14,8,5,,13,0,0,0,1,14,2,985
1.4 ea (40 g),,160.0,,9 g,1.5 g,0 g,0 mg,25 mg,18 g,3 g,9 g,,5 g,0.06 µg,9.1 µg,0.4 mg,57.07 mg,1.14 mg,211.3 mg,11,8,,0,1,7,11,19,,9,0,1,0,4,6,4,986
118 g,,70.0,,5 g,,0 g,0 mg,0 mg,7 g,,,,1 g,0.0 µg,1.13 µg,2.49 mg,10.25 mg,0.28 mg,259.73 mg,6,,,0,0,2,,,,2,0,0,3,1,2,6,983
,,190.0,,6 g,1 g,0 g,100 mg,65 mg,2 g,0 g,0 g,,31 g,0.0 µg,15.38 µg,7.96 mg,20.82 mg,0.68 mg,481.13 mg,8,5,,34,3,1,3,1,,62,0,2,9,2,4,10,982
262 g,,290.0,,28 g,,0 g,0 mg,60 mg,9 g,,,,3 g,0.0 µg,366.54 µg,31.65 mg,82.82 mg,2.25 mg,611.77 mg,36,,,0,3,3,,,,6,0,41,35,6,13,13,978
3 ea (85 g),,90.0,,4.5 g,,0 g,0 mg,120 mg,10 g,,,,3 g,0.0 µg,45.0 µg,11.47 mg,19.52 mg,0.76 mg,176.97 mg,6,,,0,5,4,,,,5,0,5,13,2,4,4,979
119 g,,60.0,,3 g,,0 g,0 mg,440 mg,8 g,,,,2 g,0.0 µg,130.41 µg,8.59 mg,37.57 mg,0.68 mg,224.07 mg,4,,,0,19,3,,,,3,0,14,10,3,4,5,981
3.54 ea (85 g),,110.0,,8 g,,0 g,0 mg,90 mg,10 g,,,,1 g,0.0 µg,4.88 µg,13.44 mg,11.7 mg,0.49 mg,288.12 mg,10,,,0,4,4,,,,2,0,1,15,1,3,6,980
233 g,,540.0,,37 g,,1.5 g,100 mg,460 mg,24 g,,,,28 g,0.35 µg,165.87 µg,6.34 mg,178.27 mg,2.94 mg,636.37 mg,48,,,33,20,9,,,,56,2,18,7,14,16,14,976
,,270.0,,14 g,2 g,0 g,0 mg,290 mg,32 g,3 g,6 g,,8 g,0.28 µg,0.25 µg,1.41 mg,84.53 mg,1.83 mg,339.11 mg,18,11,,0,13,12,12,12,,16,1,0,2,7,10,7,977
167 g,,240.0,,8 g,,0 g,0 mg,620 mg,18 g,,,,21 g,0.0 µg,38.96 µg,33.68 mg,78.51 mg,4.49 mg,175.47 mg,11,,,0,27,7,,,,42,0,4,37,6,25,4,988
164 g,,280.0,,9 g,,0 g,120 mg,220 mg,13 g,,,,31 g,0.0 µg,71.77 µg,38.31 mg,58.4 mg,2.59 mg,506.56 mg,12,,,40,10,5,,,,63,0,8,43,4,14,11,987
,,190.0,,10 g,1.5 g,0 g,0 mg,210 mg,25 g,0 g,13 g,,2 g,0.16 µg,0.68 µg,5.13 mg,26.38 mg,0.91 mg,47.12 mg,12,7,,0,9,9,3,25,,4,1,0,6,2,5,1,240
6.25 ea (177 g),,350.0,,17 g,,0 g,75 mg,610 mg,33 g,,,,14 g,3.38 µg,160.03 µg,5.31 mg,72.32 mg,2.81 mg,190.56 mg,22,,,25,27,12,,,,29,17,18,6,6,16,4,989
149 g,,190.0,,13 g,4 g,0 g,375 mg,170 mg,2 g,0 g,0 g,,15 g,0.06 µg,72.86 µg,4.47 mg,59.94 mg,2.13 mg,177.88 mg,17,21,,125,7,1,2,,,29,0,8,5,5,12,4,1011
,,370.0,,19 g,11 g,0 g,75 mg,190 mg,50 g,3 g,30 g,,4 g,0.22 µg,148.42 µg,0.0 mg,41.52 mg,1.94 mg,115.73 mg,24,54,,25,8,18,10,61,,8,1,16,0,3,11,2,1012
1.75 ea (50 g),,170.0,,9 g,5 g,0 g,50 mg,260 mg,18 g,0 g,0 g,,4 g,0.22 µg,80.69 µg,1.09 mg,83.11 mg,1.37 mg,51.26 mg,11,26,,17,11,7,2,,,7,1,9,1,6,8,1,1014
,,80.0,,5 g,0.5 g,0 g,0 mg,45 mg,8 g,3 g,2 g,,3 g,0.0 µg,35.18 µg,101.35 mg,54.97 mg,0.87 mg,362.34 mg,6,3,,0,2,3,11,4,,7,0,4,113,4,5,8,1013
5.54 ea (157 g),,280.0,,12 g,8 g,0 g,40 mg,105 mg,40 g,0 g,38 g,,4 g,0.03 µg,108.52 µg,0.99 mg,128.55 mg,0.14 mg,165.96 mg,15,39,,13,5,14,0,,,7,0,12,1,10,1,4,1015
3 ea (85 g),,130.0,,9 g,1 g,0 g,0 mg,200 mg,10 g,4 g,0 g,,3 g,0.0 µg,8.33 µg,6.01 mg,30.56 mg,1.7 mg,269.05 mg,11,5,,0,9,4,15,,,7,0,1,7,2,9,6,1017
1 cup (28 g),,30.0,,0 g,0 g,0 g,0 mg,0 mg,7 g,0 g,6 g,,0 g,0.0 µg,0.69 µg,2.77 mg,1.64 mg,0.07 mg,19.03 mg,0,0,,0,0,3,2,12,,0,0,0,3,0,0,0,1016
240 g,,540.0,,36 g,12 g,1.5 g,150 mg,400 mg,21 g,2 g,4 g,,31 g,0.46 µg,53.69 µg,11.76 mg,190.32 mg,4.54 mg,597.14 mg,46,58,,51,17,8,8,,,62,2,6,13,15,25,13,1020
2.39 ea (57 g),,180.0,,8 g,4.5 g,0 g,10 mg,70 mg,17 g,0 g,13 g,,7 g,0.0 µg,0.0 µg,0.0 mg,186.64 mg,0.21 mg,43.06 mg,10,23,,3,3,6,0,,,14,0,0,0,14,1,1,1022
113 g,,60.0,,3 g,0 g,0 g,0 mg,25 mg,8 g,2 g,4 g,,2 g,0.0 µg,48.39 µg,24.84 mg,33.76 mg,0.72 mg,377.68 mg,4,2,,0,1,3,7,,,4,0,5,28,3,4,8,896
171 g,,200.0,,11 g,1 g,0 g,0 mg,410 mg,13 g,4 g,3 g,,14 g,0.0 µg,43.19 µg,10.09 mg,80.66 mg,2.21 mg,158.24 mg,14,5,,0,18,5,16,,,28,0,5,11,6,12,3,1021
217 g,,490.0,,25 g,9 g,0 g,0 mg,950 mg,39 g,7 g,4 g,,26 g,0.0 µg,109.69 µg,53.9 mg,1745.63 mg,0.48 mg,199.64 mg,33,47,,0,41,14,24,,,53,0,12,60,134,3,4,880
,,20.0,,1.5 g,0 g,0 g,0 mg,10 mg,2 g,0 g,0 g,,0 g,0.0 µg,6.38 µg,4.21 mg,12.59 mg,0.2 mg,65.48 mg,2,1,,0,1,1,2,2,,1,0,1,5,1,1,1,639
29 g,,40.0,,0 g,0 g,0 g,0 mg,0 mg,8 g,0 g,0 g,,1 g,0.0 µg,0.0 µg,0.0 mg,6.46 mg,0.37 mg,26.65 mg,0,0,,0,0,3,1,,,3,0,0,0,0,2,1,1019
227 g,,320.0,,5 g,3.5 g,0 g,40 mg,700 mg,30 g,3 g,3 g,,20 g,0.0 µg,16.91 µg,50.21 mg,40.0 mg,1.52 mg,171.73 mg,7,18,,13,31,11,10,,,40,0,2,56,3,8,4,1018
0 g,,310.0,,20 g,9 g,0 g,0 mg,680 mg,10 g,4 g,0 g,,21 g,0.0 µg,62.5 µg,0.0 mg,1704.55 mg,0.0 mg,0.0 mg,26,44,,0,29,4,13,,,43,0,7,0,131,0,0,1030
28 g,,10.0,,0 g,0 g,0 g,0 mg,200 mg,2 g,0 g,1 g,,0 g,0.0 µg,6.44 µg,0.53 mg,8.4 mg,0.12 mg,77.0 mg,0,0,,0,9,1,2,2,,1,0,1,1,1,1,2,1031
0 g,,240.0,,19 g,7 g,0 g,65 mg,560 mg,0 g,0 g,0 g,,16 g,0.0 µg,132.74 µg,3.19 mg,0.0 mg,5.58 mg,0.0 mg,25,35,,22,24,0,3,,,32,0,15,4,0,31,0,1029
,,330.0,,5 g,1.5 g,0 g,0 mg,65 mg,73 g,8 g,26 g,,12 g,0.0 µg,33.99 µg,25.68 mg,14.39 mg,1.94 mg,1022.61 mg,7,6,,0,3,26,27,51,,25,0,4,29,1,11,22,1025
73 g,,70.0,,4.5 g,0.5 g,0 g,0 mg,270 mg,6 g,2 g,3 g,,2 g,0.26 µg,0.0 µg,1.26 mg,9.78 mg,0.46 mg,357.72 mg,6,3,,0,12,2,6,,,4,1,0,1,1,3,8,1023
91 g,,170.0,,0.5 g,0 g,0 g,0 mg,25 mg,34 g,1 g,1 g,,6 g,0.0 µg,0.0 µg,0.0 mg,10.77 mg,1.48 mg,100.5 mg,1,1,,0,1,12,5,,,12,0,0,0,1,8,2,1024
2.32 ea (66 g),,210.0,,8 g,5 g,0 g,30 mg,290 mg,29 g,0 g,6 g,,4 g,0.06 µg,71.1 µg,0.17 mg,167.65 mg,1.7 mg,65.06 mg,11,25,,10,13,10,3,,,8,0,8,0,13,9,1,1026
28 g,,70.0,,6 g,4 g,0 g,20 mg,0 mg,4 g,0 g,2 g,,0 g,0.11 µg,53.26 µg,0.0 mg,28.61 mg,0.01 mg,41.64 mg,8,20,,7,0,1,0,,,2,1,6,0,2,0,1,1028
29 g,,30.0,,0 g,0 g,0 g,0 mg,0 mg,8 g,0 g,7 g,,0 g,0.0 µg,0.3 µg,10.97 mg,2.98 mg,0.15 mg,29.06 mg,0,0,,0,0,3,2,,,0,0,0,12,0,1,1,1027
,,40.0,,2 g,1.5 g,0 g,5 mg,0 mg,6 g,0 g,5 g,,0 g,0.0 µg,18.7 µg,1.35 mg,6.56 mg,0.12 mg,31.44 mg,3,7,,2,0,2,2,10,,0,0,2,2,1,1,1,1039
204 g,,160.0,,11 g,3.5 g,0 g,420 mg,160 mg,0 g,0 g,0 g,,14 g,2.26 µg,181.44 µg,0.0 mg,66.22 mg,1.98 mg,157.41 mg,14,18,,141,7,0,0,,,28,11,20,0,5,11,3,1038
,,530.0,,28 g,11 g,0 g,65 mg,330 mg,62 g,2 g,45 g,,11 g,2.75 µg,113.14 µg,2.05 mg,276.77 mg,1.96 mg,422.4 mg,36,54,,21,15,22,9,90,,21,14,13,2,21,11,9,1040
85 g,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049
0 g,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050
56 g,,10.0,,0 g,0 g,0 g,0 mg,0 mg,2 g,1 g,0 g,,0 g,0.0 µg,244.16 µg,2.24 mg,18.48 mg,0.54 mg,138.32 mg,0,0,,0,0,1,4,1,,1,0,27,2,1,3,3,1045
85 g,,110.0,,2.5 g,0 g,0 g,0 mg,25 mg,17 g,4 g,1 g,,5 g,0.0 µg,4.01 µg,2.04 mg,46.81 mg,2.15 mg,389.67 mg,3,2,,0,1,6,15,,,10,0,0,2,4,12,8,1044
,,80.0,,1.5 g,0 g,0 g,0 mg,90 mg,12 g,4 g,1 g,,4 g,0.0 µg,12.55 µg,13.01 mg,41.51 mg,0.87 mg,208.35 mg,2,1,,0,4,5,13,3,,8,0,1,14,3,5,4,1043
77 g,,30.0,,2 g,0 g,0 g,0 mg,20 mg,3 g,1 g,2 g,,1 g,0.05 µg,8.95 µg,40.41 mg,5.94 mg,0.3 mg,166.4 mg,2,1,,0,1,1,4,,,2,0,1,45,0,2,4,1042
,,150.0,,5 g,1 g,0 g,80 mg,160 mg,5 g,2 g,1 g,,21 g,0.0 µg,108.87 µg,3.36 mg,34.64 mg,2.24 mg,340.26 mg,6,6,,26,7,2,7,3,,42,0,12,4,3,12,7,1041
,,130.0,,6 g,1 g,0 g,0 mg,90 mg,19 g,2 g,0 g,,2 g,0.0 µg,0.0 µg,0.0 mg,29.68 mg,0.43 mg,50.96 mg,7,4,,0,4,7,5,0,,4,0,0,0,2,2,1,138
7 g,,0.0,,0 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,23.59 µg,1.89 mg,4.69 mg,0.12 mg,36.47 mg,0,0,,0,0,0,1,0,,0,0,3,2,0,1,1,1048
,,100.0,,8 g,5 g,0 g,25 mg,170 mg,0 g,0 g,0 g,,7 g,0.17 µg,55.44 µg,0.0 mg,208.88 mg,0.2 mg,22.68 mg,11,27,,8,7,0,0,0,,14,1,6,0,16,1,0,1047
28 g,,100.0,,8 g,5 g,0 g,30 mg,390 mg,1 g,0 g,0 g,,6 g,0.14 µg,64.12 µg,0.0 mg,224.0 mg,0.0 mg,35.0 mg,11,25,,9,17,0,0,0,,11,1,7,0,17,0,1,1046
113 g,,190.0,,4 g,1 g,0 g,115 mg,85 mg,0 g,0 g,0 g,,35 g,0.0 µg,14.22 µg,0.0 mg,9.61 mg,0.62 mg,528.68 mg,5,4,,38,4,0,0,,,71,0,2,0,1,3,11,1051
,,480.0,,37 g,9 g,0 g,240 mg,580 mg,20 g,4 g,3 g,,17 g,1.3 µg,117.2 µg,8.9 mg,58.39 mg,2.77 mg,487.23 mg,48,47,,80,25,7,13,6,,34,7,13,10,4,15,10,1052
3 ea (85 g),,130.0,,10 g,4 g,0 g,20 mg,170 mg,4 g,0 g,3 g,,5 g,0.11 µg,60.09 µg,5.69 mg,135.67 mg,0.36 mg,141.3 mg,13,20,,6,8,2,2,,,10,1,7,6,10,2,3,1054
85 g,,160.0,,13 g,1.5 g,0 g,0 mg,20 mg,11 g,2 g,4 g,,3 g,0.0 µg,127.77 µg,5.9 mg,44.28 mg,1.0 mg,220.4 mg,16,8,,0,1,4,8,,,5,0,14,7,3,6,5,1055
,,360.0,,26 g,3.5 g,0 g,0 mg,320 mg,27 g,6 g,3 g,,9 g,0.0 µg,22.77 µg,11.35 mg,60.02 mg,2.8 mg,451.58 mg,34,18,,0,14,10,21,6,,17,0,3,13,5,16,10,1053
